nombre,domicilio,localidad,departamento,provincia,cp,longitud,latitud
GALFRE,BALCARCE 801,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.393754,-32.821912
GALENICA,ESPAÑA 2198,ROSARIO,ROSARIO,SANTA FE,2000,-60.650607,-32.961218
MUTUAL PERSONAL OBREROS SULFACID SA,DORREGO 50,FRAY LUIS BELTRAN,SAN LORENZO,SANTA FE,2156,-60.72707078,-32.78344369
LELLI,SALVAT 1562,ROSARIO,ROSARIO,SANTA FE,2000,-60.704359,-32.882506
CALVIN,JUNIN 1794,ROSARIO,ROSARIO,SANTA FE,2000,-60.687429,-32.926914
LUCARINI,MACIEL 881,ROSARIO,ROSARIO,SANTA FE,2000,-60.691999,-32.904254
ORLANDI,SAN MARTIN 3110,ROSARIO,ROSARIO,SANTA FE,2000,-60.643483,-32.973712
GHERGO,RIVADAVIA 569,TORTUGAS,BELGRANO,SANTA FE,2512,-61.80582047,-32.73963834
BRUNO,Bv CELMAN 844,TORTUGAS,BELGRANO,SANTA FE,2512,-61.80582047,-32.73963834
ZAMPATTI,RIVADAVIA 1019,SAN JOSE DE LA ESQUINA,CASEROS,SANTA FE,2185,-61.702495,-33.113183
CECARELLI,AV SAN MARTIN 1267,FRAY LUIS BELTRAN,SAN LORENZO,SANTA FE,2156,-60.72444749,-32.78937623
PUCCINI,Av FILIPPINI 1631,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,2124,-60.636767,-33.020683
VILLAGGI,Bv OROÑO 1215,ROSARIO,ROSARIO,SANTA FE,2000,-60.654792,-32.948957
DE LA PLAZA,MITRE 1679,CHABAS,CASEROS,SANTA FE,2173,-61.356511,-33.245507
RIVADAVIA,RIVADAVIA 2125,CASILDA,CASEROS,SANTA FE,2170,-61.159948,-33.040633
ASTRAL,J. MANUEL DE ROSAS 1301,ROSARIO,ROSARIO,SANTA FE,2000,-60.63285828,-32.95372825
JUAN,JUNIN 5648,ROSARIO,ROSARIO,SANTA FE,2000,-60.70101,-32.927283
PLACENTI,SAN JUAN 3501,ROSARIO,ROSARIO,SANTA FE,2000,-60.672323,-32.944167
ARIAS,TUCUMAN 917,ALVAREZ,ROSARIO,SANTA FE,2107,-60.80663,-33.129214
LUMANI,SAN LUIS 2922,ROSARIO,ROSARIO,SANTA FE,2000,-60.663975,-32.944473
LAGRECA,3 DE FEBRERO 2698,ROSARIO,ROSARIO,SANTA FE,2000,-60.661594,-32.948795
PERDOMO,SAN LUIS 2566,ROSARIO,ROSARIO,SANTA FE,2000,-60.659083,-32.945355
GAMULIN,RODRIGUEZ 714,ROSARIO,ROSARIO,SANTA FE,2000,-60.65859,-32.941556
RODRIGUEZ SILVIA GUADALUPE,SAN LUIS 4570,ROSARIO,ROSARIO,SANTA FE,2000,-60.686291,-32.940547
MENDOZA,AV. 27 DE FEBRERO 3946,ROSARIO,ROSARIO,SANTA FE,2000,-60.682386,-32.96057
BELLA VISTA,RIOBAMBA 3696,ROSARIO,ROSARIO,SANTA FE,2000,-60.67800522,-32.95660906
ALESSO,SARMIENTO 1296,ROSARIO,ROSARIO,SANTA FE,2000,-60.639707,-32.952612
CASCIANI,ISLAS MALVINAS 195,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.513089,-33.161697
CHOIHETTE,SAN MARTIN 4842,ROSARIO,ROSARIO,SANTA FE,2000,-60.64726,-32.993061
BONDIEU,SAN MARTIN 621,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.513175,-33.161589
CUBELLS,EVA PERON 8166,ROSARIO,ROSARIO,SANTA FE,2000,-60.738133,-32.928553
LO MORO,SAN LORENZO 1888,ROSARIO,ROSARIO,SANTA FE,2000,-60.648526,-32.942132
MARCELO GARCIA,LAVALLE 1301,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.40066,-32.819397
GRASSI,SARMIENTO 641,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.513217,-33.161625
VIA CORDOBA,CORDOBA 5753 PB,ROSARIO,ROSARIO,SANTA FE,2000,-60.70202,-32.934983
BIZZOTTO,COLON 1301,ROSARIO,ROSARIO,SANTA FE,2000,-60.627215,-32.954905
LORENZINI,NECOCHEA 1687,ROSARIO,ROSARIO,SANTA FE,2000,-60.626854,-32.959562
FARMACIA YASPARRA,MONTEVIDEO 1364,ROSARIO,ROSARIO,SANTA FE,2000,-60.644234,-32.955403
OTTOLINI,MENDOZA 5151,ROSARIO,ROSARIO,SANTA FE,2000,-60.694059,-32.941808
PERINETTI,H. Irigoyen 1078,ROSARIO,ROSARIO,SANTA FE,2000,-60.69908,-32.884453
BOGGIONE,BALCARCE816,ROSARIO,ROSARIO,SANTA FE,2000,-60.652131,-32.944149
SANTONI,SANTA FE 785,TORTUGAS,BELGRANO,SANTA FE,2512,-61.80582047,-32.73963834
ASOCIACION MUTUAL FERROVIARIA,LAVALLE 472,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.38888,-32.821452
IRIONDO,3 DE FEBRERO 3401,ROSARIO,ROSARIO,SANTA FE,2000,-60.671614,-32.946994
GERVATTI,Bv AVELLANEDA 967 BIS,ROSARIO,ROSARIO,SANTA FE,2000,-60.677936,-32.934469
MICA,CALLAO 301,ROSARIO,ROSARIO,SANTA FE,2000,-60.658783,-32.936784
SAAVEDRA,PARAGUAY 3502,ROSARIO,ROSARIO,SANTA FE,2000,-60.651637,-32.976952
RAGAZZO,CONSTITUCION 940,ROSARIO,ROSARIO,SANTA FE,2000,-60.674168,-32.94143
BERDINI,9 DE JULIO 845,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.51200867,-33.15796025
LA FLORIDA,Bv. Rondeau 3302,ROSARIO,ROSARIO,SANTA FE,2000,-60.695306,-32.884628
AGRELO,AGRELO 2364,ROSARIO,ROSARIO,SANTA FE,2000,-60.692257,-32.890669
ANTONELLI,WILDE 508,ROSARIO,ROSARIO,SANTA FE,2000,-60.738691,-32.934334
BABINI,MENDOZA 7735,ROSARIO,ROSARIO,SANTA FE,2000,-60.72748661,-32.9406554
VAROLI,MORENO 1363,VILLA CONSTITUCION,CONSTITUCIÓN,SANTA FE,2919,-60.330373,-33.23018
INTILE,GUEMES 2499,ROSARIO,ROSARIO,SANTA FE,2000,-60.654706,-32.932479
SAN PEDRO,RIVADAVIA 1754,VILLA CONSTITUCION,CONSTITUCIÓN,SANTA FE,2919,-60.325052,-33.23106
VIDAL,SAN NICOLAS 301,ROSARIO,ROSARIO,SANTA FE,2000,-60.671099,-32.934659
PIETRODARCHI,GARIBALDI 2352,CASILDA,CASEROS,SANTA FE,2170,-61.178809,-33.048296
CARELLI DE COLOMBO,QUINTANA 360,AMENABAR,GENERAL LÓPEZ,SANTA FE,6103,-61.699952,-33.88326
MOREIRA,SAN MARTIN 1220,SAN GREGORIO,GENERAL LÓPEZ,SANTA FE,2613,-62.037399,-34.324087
RAMKIN,URQUIZA 5835,ROSARIO,ROSARIO,SANTA FE,2000,-60.703028,-32.933164
HOSPITAL DR JUAN BAUTISTA ALBERDI,PUCCIO JOSE 575,ROSARIO,ROSARIO,SANTA FE,2000,-60.69172,-32.894705
SALVUCCI,9 DE JULIO 1253,TOTORAS,IRIONDO,SANTA FE,2144,-61.167799,-32.5857972
FERRARI,CRESPO 2102,ROSARIO,ROSARIO,SANTA FE,2000,-60.672323,-32.956609
GALIZIA,Bv SEGUI 1701,ROSARIO,ROSARIO,SANTA FE,2000,-60.654899,-32.977384
HOSPITAL DE NIÑO ZONA NORTE (FCIA INTERNA),DE LOS TRABAJADORES 1331,ROSARIO,ROSARIO,SANTA FE,2000,-60.67921,-32.911964
CAPPONE,Bv OROÑO,ROSARIO,ROSARIO,SANTA FE,2000,-60.66570658,-32.9914565
SANTA MONICA,OVIDIO LAGOS 3049,ROSARIO,ROSARIO,SANTA FE,2000,-60.667945,-32.968329
CASA,BAIGORRIA 1710,ROSARIO,ROSARIO,SANTA FE,2000,-60.704938,-32.893768
OVEID,JJ PASO 802,ROSARIO,ROSARIO,SANTA FE,2000,-60.675327,-32.919115
LORENZO,GRAL LOPEZ 26 PB,FRAY LUIS BELTRAN,SAN LORENZO,SANTA FE,2156,-60.723628,-32.819703
GRANADEROS A CABALLO,RICHERI 347,SAN LORENZO,SAN LORENZO,SANTA FE,2200,-60.72987,-32.748807
EL SOL,LAVALLE 939,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.395746,-32.820244
LUCHETTA(dupl),BUENOS AIRES 1654,ROSARIO,ROSARIO,SANTA FE,2000,-60.635244,-32.957689
DI MONACO,PTE. ROCA 1462,ROSARIO,ROSARIO,SANTA FE,2000,-60.647131,-32.953134
PARISI,Av FRANCIA 1501,ROSARIO,ROSARIO,SANTA FE,2000,-60.667816,-32.950271
RIVADAVIA,RIVADAVIA 1400,VILLA CONSTITUCION,CONSTITUCIÓN,SANTA FE,2919,-60.327519,-33.228708
LA UNIVERSIDAD,SALTA 2801,ROSARIO,ROSARIO,SANTA FE,2000,-60.660113,-32.935145
LA UNION,AYACUCHO 5576,ROSARIO,ROSARIO,SANTA FE,2000,-60.636038,-33.001124
SAENZ PEÑA,Av ARIJON 702,ROSARIO,ROSARIO,SANTA FE,2000,-60.644985,-33.002689
TORRESI,BUENOS AIRES 4271,ROSARIO,ROSARIO,SANTA FE,2000,-60.642775,-32.9875
SANTAMBROSIO,Av URIBURU 721,ROSARIO,ROSARIO,SANTA FE,2000,-60.643784,-32.990362
CUBO,MONTEVIDEO 1983,ROSARIO,ROSARIO,SANTA FE,2000,-60.652796,-32.953872
VITALE,GRAL SAVIO 214,FRAY LUIS BELTRAN,SAN LORENZO,SANTA FE,2156,-60.730215,-32.783667
SCARAVAGLIONE,CORRIENTES 962,ROSARIO,ROSARIO,SANTA FE,2000,-60.642883,-32.94766
GABBI,SARMIENTO 1416,ROSARIO,ROSARIO,SANTA FE,2000,-60.64005,-32.95398
EXPRESS,Bv RONDEAU 4147,ROSARIO,ROSARIO,SANTA FE,2000,-60.698192,-32.876361
SCARPIGNATO,BV. OROÑO 1509,ROSARIO,ROSARIO,SANTA FE,2000,-60.655586,-32.952414
CICCONI,CERRITO 684,ALVAREZ,ROSARIO,SANTA FE,2107,-60.806637,-33.129789
YOCCO,SAN MARTIN 901,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.396025,-32.81139
GRISOLIA,SAN MARTIN 1118,SAN LORENZO,SAN LORENZO,SANTA FE,2200,-60.734185,-32.750377
AMERICA,EDISON 73,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.396648,-32.822913
POPULAR,Bv OROÑO 621,SAN LORENZO,SAN LORENZO,SANTA FE,2200,-60.734099,-32.735397
MARINELLI,AYACUCHO 2097,ROSARIO,ROSARIO,SANTA FE,2000,-60.630716,-32.963613
BRACCANI,SAN MARTIN 1795,ARMSTRONG,BELGRANO,SANTA FE,2508,-61.602538,-32.781249
GRIFFA,P. FERRERO 1564,ARMSTRONG,BELGRANO,SANTA FE,2508,-61.602538,-32.781249
DESANO,MITRE 2078,ROSARIO,ROSARIO,SANTA FE,2000,-60.643312,-32.961254
CARESTIA,PARAGUAY   2104,ROSARIO,ROSARIO,SANTA FE,2000,-60.647646,-32.960948
MUTUAL DE AYUDA ENTRE ASOCIADOS DE LA ASOCIACION DEPORTIVA EVERTON OLIMPIA (ADEO),LAVALLE 1304,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.400961,-32.81936
SERGIO RODRIGUEZ,TUCUMAN 7782,ROSARIO,ROSARIO,SANTA FE,2000,-60.729207,-32.933092
BERTERO,EVA PERON 7025,ROSARIO,ROSARIO,SANTA FE,2000,-60.71695089,-32.93228128
ORIOLI,CORDOBA 2275,ROSARIO,ROSARIO,SANTA FE,2000,-60.654427,-32.943519
CAPOZZI,SAN MARTIN 2365,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,2124,-60.622399,-33.027375
OESTE,CORDOBA 6694,ROSARIO,ROSARIO,SANTA FE,2000,-60.71262,-32.933146
COLONIA PSIQUIATRICO OLIVERO  DR ABELARDO FREYRE,Ruta 11 km. 356.5,OLIVEROS,IRIONDO,SANTA FE,2206,-60.849974,-32.574736
FRANZ,MENDOZA 5802,ROSARIO,ROSARIO,SANTA FE,2000,-60.702513,-32.940223
PIOLETTI,LISANDRO DE LA TORRE 2601,CASILDA,CASEROS,SANTA FE,2170,-61.171192,-33.048583
PILAR,PUEYRREDON 353,ROSARIO,ROSARIO,SANTA FE,2000,-60.656272,-32.937702
SCLOSA,MENDOZA 5567,ROSARIO,ROSARIO,SANTA FE,2000,-60.699488,-32.940799
SMYK,J. INGENIERON  1104,SAN LORENZO,SAN LORENZO,SANTA FE,2200,-60.739483,-32.73999
NOEL,Sgto CABRAL 1970,SAN LORENZO,SAN LORENZO,SANTA FE,2200,-60.730567,-32.742526
SAN GREGORIO,SAN MARTIN 964,SAN GREGORIO,GENERAL LÓPEZ,SANTA FE,2613,-62.037399,-34.324087
BELGRANO,MENDOZA 6998,ROSARIO,ROSARIO,SANTA FE,2000,-60.71619987,-32.94034927
BENITEZ,Bv Avellaneda 735 Bis,ROSARIO,ROSARIO,SANTA FE,2000,-60.67418575,-32.91843072
BIZZARRI,JOSE INGENIEROS 876,ROSARIO,ROSARIO,SANTA FE,2000,-60.6976,-32.847902
SIMONE,OCAMPO 1501,CAÑADA DE GOMEZ,IRIONDO,SANTA FE,2500,-61.403514,-32.817665
BONICCHI,LISANDRO DE LA TORRE 55,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.513089,-33.161697
RIVERO,JUAN B. JUSTO 658,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.513217,-33.161625
VEGA,PASTEUR 2298,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,2124,-60.624021,-33.027735
MILATICH,BUENOS AIRES 2398,VILLA GOBERNADOR GALVEZ,ROSARIO,SANTA FE,2124,-60.638484,-33.029067
COBELLI,CORDOBA 5973,ROSARIO,ROSARIO,SANTA FE,2000,-60.704509,-32.934514
PISTACCHIA,EVA PERON 8055,ROSARIO,ROSARIO,SANTA FE,2000,-60.735794,-32.928985
DE PAOLA,SANTIAGO 1499,ROSARIO,ROSARIO,SANTA FE,2000,-60.658182,-32.951568
DEL BARRIO,Bv RONDEAU 3411,ROSARIO,ROSARIO,SANTA FE,2000,-60.695934,-32.883822
MUTUAL,LAS HERAS 1164,TOTORAS,IRIONDO,SANTA FE,2144,-61.16802,-32.585874
LOPEZ,SAN MARTIN 1302,SAN LORENZO,SAN LORENZO,SANTA FE,2200,-60.734145,-32.748662
DEL PRETE,MORENO 295,ARROYO SECO,ROSARIO,SANTA FE,2128,-60.513346,-33.161697
LORENZETTI,NECOCHEA 1795,ROSARIO,ROSARIO,SANTA FE,2000,-60.627154,-32.960696
GENCIANA,MAESTROS SANTAFESINOS 4885,ROSARIO,ROSARIO,SANTA FE,2000,-60.62298424,-32.99307623
GRILLI,SAN JUAN 601,ROSARIO,ROSARIO,SANTA FE,2000,-60.632604,-32.95137
ALEJANDRA PORTA,BAIGORRIA 1477,ROSARIO,ROSARIO,SANTA FE,2000,-60.701848,-32.893444
GALLI,9 DE JULIO 1361,AREQUITO,CASEROS,SANTA FE,2183,-61.468256,-33.145061
HAUPTMANN,GRAL PAZ 5467,ROSARIO,ROSARIO,SANTA FE,2000,-60.62723311,-32.99992454
CECCARELLI,AYACUCHO 5380,ROSARIO,ROSARIO,SANTA FE,2000,-60.636274,-32.999036
MARCHETTI,SANTA FE 1631,FUNES,ROSARIO,SANTA FE,2132,-60.810574,-32.918305
MAMMANA,Av CORDOBA 4790,ROSARIO,ROSARIO,SANTA FE,2000,-60.688566,-32.937396
CHIMENTON,PELLEGRINI 4460,ROSARIO,ROSARIO,SANTA FE,2000,-60.686828,-32.948993
CASALINO,SAN MARTIN 598,SAN GREGORIO,GENERAL LÓPEZ,SANTA FE,2613,-62.037613,-34.323768
SINDICAL UOM,CORDOBA 1202,AREQUITO,CASEROS,SANTA FE,2183,-61.468256,-33.144918
ARAUJO,RIOJA 701,ROSARIO,ROSARIO,SANTA FE,2000,-60.63305473,-32.94877599
AMBAY,SAN JUAN 2296,ROSARIO,ROSARIO,SANTA FE,2000,-60.65558048,-32.94719692
AQUINO,SAN LUIS 2348,ROSARIO,ROSARIO,SANTA FE,2000,-60.655935,-32.945877
ARGENTA,SE SAN MARTIN JOSE GRL AV 4515,ROSARIO,ROSARIO,SANTA FE,2000,,
ACEOLAZA,SUPERI JOSE 996,ROSARIO,ROSARIO,SANTA FE,2000,,
ALEMA,TUCUMAN 1099,ROSARIO,ROSARIO,SANTA FE,2000,-60.63706169,-32.94183776
ANUNZIATO,DE URQUIZA JUSTO JOSE 2597,ROSARIO,ROSARIO,SANTA FE,2000,,
ACHIDIAK,VELEZ SARSFIELD 1582,ROSARIO,ROSARIO,SANTA FE,2000,-60.68617172,-32.92518195
BONEL,ARIJON AV 1337,ROSARIO,ROSARIO,SANTA FE,2000,-60.65236462,-33.00311707
BAHA,BAHIA BLANCA BIS 388,ROSARIO,ROSARIO,SANTA FE,2000,-60.68876932,-32.923865
BAIGORRIA,BAIGORRIA JUAN BAUTISTA 957,ROSARIO,ROSARIO,SANTA FE,2000,,
BOGGIONE,BALCARCE 816,ROSARIO,ROSARIO,SANTA FE,2000,-60.65197402,-32.94411923
BERMEJO,AYACUCHO 1650,ROSARIO,ROSARIO,SANTA FE,2000,-60.62946844,-32.95868957
BINI,SEGUI JUAN FRANCISCO BV 5341,ROSARIO,ROSARIO,SANTA FE,2000,,
BRUFAL,SEGUI JUAN FRANCISCO BV 5203,ROSARIO,ROSARIO,SANTA FE,2000,,
BUSTAMANTE,CASIANO CASAS 1502,ROSARIO,ROSARIO,SANTA FE,2000,-60.70412519,-32.90184214
BATALLA,DUARTE DE PERON EVA AV 4997,ROSARIO,ROSARIO,SANTA FE,2000,,
BARTONAGIOLLI,DE ROSAS JUAN MANUEL 2448,ROSARIO,ROSARIO,SANTA FE,2000,,
BONETTO,PASO JUAN JOSE 5669,ROSARIO,ROSARIO,SANTA FE,2000,,
BARBAGALLO,TUCUMAN 7607,ROSARIO,ROSARIO,SANTA FE,2000,-60.72493294,-32.93287501
BECCARIA,PROVINCIAS UNIDAS AV 864,ROSARIO,ROSARIO,SANTA FE,2000,-60.71285078,-32.93763432
BUSALACCHI,LAMADRID 1987,ROSARIO,ROSARIO,SANTA FE,2000,-60.66203649,-32.99750945
BOZAZ,MENDOZA AV 7940,ROSARIO,ROSARIO,SANTA FE,2000,,
BEDETTI,MITRE BARTOLOME 4408,ROSARIO,ROSARIO,SANTA FE,2000,,
BERGERO,MONTEVIDEO 1732,ROSARIO,ROSARIO,SANTA FE,2000,-60.64938909,-32.95454503
BAVASTRO,NECOCHEA 3118,ROSARIO,ROSARIO,SANTA FE,2000,-60.63099451,-32.97606064
BOSCO,PARAGUAY 1159,ROSARIO,ROSARIO,SANTA FE,2000,-60.64486452,-32.9499885
BACHIARRI,ROCA JULIO ARGENTINO PTE 2508,ROSARIO,ROSARIO,SANTA FE,2000,,
BIANCHI,RIOBAMBA 3595,ROSARIO,ROSARIO,SANTA FE,2000,-60.67646951,-32.9568899
BERGONZI,SALTA AV 1975,ROSARIO,ROSARIO,SANTA FE,2000,-60.64850429,-32.9372715
BITTAR,SAN JUAN 3292,ROSARIO,ROSARIO,SANTA FE,2000,-60.669133,-32.94479042
BONO,SAN LORENZO 1130,ROSARIO,ROSARIO,SANTA FE,2000,-60.63804599,-32.94409848
BENDINELLI,DE URQUIZA JUSTO JOSE 2373,ROSARIO,ROSARIO,SANTA FE,2000,,
CASADEI,9 DE JULIO 1768,ROSARIO,ROSARIO,SANTA FE,2000,-60.64931272,-32.95216008
CASTINI,9 DE JULIO 414,ROSARIO,ROSARIO,SANTA FE,2000,-60.63038733,-32.95558009
CATAUDELLA,9 DE JULIO 504,ROSARIO,ROSARIO,SANTA FE,2000,-60.63164912,-32.9553667
CONCARI,9 DE JULIO 764,ROSARIO,ROSARIO,SANTA FE,2000,-60.63554236,-32.95469178
CHIAPPERO,9 DE JULIO 2499,ROSARIO,ROSARIO,SANTA FE,2000,-60.65923875,-32.95038317
CASTELLI,ARIJON AV 302,ROSARIO,ROSARIO,SANTA FE,2000,-60.6360759,-33.00262066
CARLOS SOLARI,ARIJON AV 1645,ROSARIO,ROSARIO,SANTA FE,2000,-60.65695565,-33.00325454
CLADERA,NTRA SRA DEL ROSARIO AV 3189,ROSARIO,ROSARIO,SANTA FE,2000,-60.6790995,-33.00098161
CAPRIOGLIO,FRANCIA AV 2581,ROSARIO,ROSARIO,SANTA FE,2000,-60.67091692,-32.96240524
CUCA,URIBURU JOSE EVARISTO PRES AV 1756,ROSARIO,ROSARIO,SANTA FE,2000,,
COTUGNO,BUENOS AIRES 3569,ROSARIO,ROSARIO,SANTA FE,2000,-60.64080504,-32.97964304
CATIVIELA,AVELLANEDA BV 2655,ROSARIO,ROSARIO,SANTA FE,2000,-60.68474998,-32.96092216
CARLOS LAURINO,OROO NICASIO BV 6000,ROSARIO,ROSARIO,SANTA FE,2000,,
CRISTIAN HERNANDEZ,OROO NICASIO BV 3436,ROSARIO,ROSARIO,SANTA FE,2000,,
CRUZ DEL SUR,OROO NICASIO BV 2875,ROSARIO,ROSARIO,SANTA FE,2000,,
CARRA,RONDEAU BV 1029,ROSARIO,ROSARIO,SANTA FE,2000,-60.68947261,-32.9047576
CORIASCO,CAFFERATA 1242,ROSARIO,ROSARIO,SANTA FE,2000,-60.6724107,-32.94620398
CORDOBA,Córdoba 2394,ROSARIO,ROSARIO,SANTA FE,2000,-60.655991,-32.9431329
CENTENARIO,CORRIENTES AV 501,ROSARIO,ROSARIO,SANTA FE,2000,-60.64149956,-32.94220125
CORRIENTES,CORRIENTES AV 785,ROSARIO,ROSARIO,SANTA FE,2000,-60.64231123,-32.94548113
CENTINEO,JUNIN 650,ROSARIO,ROSARIO,SANTA FE,2000,-60.67282576,-32.92655934
CHIABRANDO,ENTRE RIOS 1121,ROSARIO,ROSARIO,SANTA FE,2000,-60.64196475,-32.94995048
CULLA,DUARTE DE PERON EVA AV 5401,ROSARIO,ROSARIO,SANTA FE,2000,-60.69754779,-32.93588653
CANTONI,IGR LAPORTE 3732,ROSARIO,ROSARIO,SANTA FE,2000,-60.69354899,-32.88044258
CECCONI,JUSTO JUAN BAUTISTA 7235,ROSARIO,ROSARIO,SANTA FE,2000,,
CRUZ DEL OESTE,PASO JUAN JOSE 6674,ROSARIO,ROSARIO,SANTA FE,2000,,
FALCONE,SE SAN MARTIN JOSE GRL AV 658,ROSARIO,ROSARIO,SANTA FE,2000,-60.63638806,-32.94527209
FEIOCK,SAN NICOLAS 3798,ROSARIO,ROSARIO,SANTA FE,2000,-60.6811602,-32.97524145
FARINA,SANTA FE 3304,ROSARIO,ROSARIO,SANTA FE,2000,-60.6679487,-32.9396481
FERRETO,SARMIENTO DOMINGO FAUSTINO PRES 4301,ROSARIO,ROSARIO,SANTA FE,2000,,
